year,deposit,desposit year,dividend,total deposit
1,"1,000.00","12,000.00",117.00,"12,000.00"
2,"1,000.00","12,000.00",333.00,"24,000.00"
3,"1,000.00","12,000.00",549.00,"36,000.00"
4,"1,000.00","12,000.00",765.00,"48,000.00"
5,"1,000.00","12,000.00",981.00,"60,000.00"
6,"1,000.00","12,000.00","1,197.00","72,000.00"
7,"1,000.00","12,000.00","1,413.00","84,000.00"
8,"1,000.00","12,000.00","1,629.00","96,000.00"
9,"1,000.00","12,000.00","1,845.00","108,000.00"
10,"1,000.00","12,000.00","2,061.00","120,000.00"
