year,deposit,desposit year,dividend,total deposit
1,"1,000.00","12,000.00",390.00,"12,000.00"
2,"1,000.00","12,000.00","1,110.00","24,000.00"
3,"1,000.00","12,000.00","1,830.00","36,000.00"
4,"1,000.00","12,000.00","2,550.00","48,000.00"
5,"1,000.00","12,000.00","3,270.00","60,000.00"
6,"1,000.00","12,000.00","3,990.00","72,000.00"
7,"1,000.00","12,000.00","4,710.00","84,000.00"
8,"1,000.00","12,000.00","5,430.00","96,000.00"
9,"1,000.00","12,000.00","6,150.00","108,000.00"
10,"1,000.00","12,000.00","6,870.00","120,000.00"
