year,deposit,desposit year,dividend,total deposit
1,"1,000.00","12,000.00",178.75,"12,000.00"
2,"1,000.00","12,000.00",508.75,"24,000.00"
3,"1,000.00","12,000.00",838.75,"36,000.00"
4,"1,000.00","12,000.00","1,168.75","48,000.00"
5,"1,000.00","12,000.00","1,498.75","60,000.00"
6,"1,000.00","12,000.00","1,828.75","72,000.00"
7,"1,000.00","12,000.00","2,158.75","84,000.00"
8,"1,000.00","12,000.00","2,488.75","96,000.00"
9,"1,000.00","12,000.00","2,818.75","108,000.00"
10,"1,000.00","12,000.00","3,148.75","120,000.00"
