year,deposit,desposit year,dividend,total deposit
1,"1,000.00","12,000.00",149.50,"12,000.00"
2,"1,000.00","12,000.00",425.50,"24,000.00"
3,"1,000.00","12,000.00",701.50,"36,000.00"
4,"1,000.00","12,000.00",977.50,"48,000.00"
5,"1,000.00","12,000.00","1,253.50","60,000.00"
6,"1,000.00","12,000.00","1,529.50","72,000.00"
7,"1,000.00","12,000.00","1,805.50","84,000.00"
8,"1,000.00","12,000.00","2,081.50","96,000.00"
9,"1,000.00","12,000.00","2,357.50","108,000.00"
10,"1,000.00","12,000.00","2,633.50","120,000.00"
